Freq.	V(n004)/V(ampli:n003)	V(n004)/V(ampli:n010)
3.93966212270376e+000	(5.66344898840528e+001dB,-1.79992191678131e+002°)	(5.47095871361135e+001dB,1.79989266529228e+002°)
4.07859400742167e+000	(5.66344898767155e+001dB,-1.79991919465498e+002°)	(5.47095871225244e+001dB,1.79988890594240e+002°)
4.22242531447330e+000	(5.66344898688457e+001dB,-1.79991637545449e+002°)	(5.47095871079624e+001dB,1.79988501314709e+002°)
4.37132882161410e+000	(5.66344898602877e+001dB,-1.79991345579276e+002°)	(5.47095870922493e+001dB,1.79988098223060e+002°)
4.52548339959394e+000	(5.66344898516383e+001dB,-1.79991043216202e+002°)	(5.47095870759407e+001dB,1.79987680835128e+002°)
4.68507422702604e+000	(5.66344898420081e+001dB,-1.79990730092959e+002°)	(5.47095870581135e+001dB,1.79987248649581e+002°)
4.85029301283332e+000	(5.66344898318180e+001dB,-1.79990405833350e+002°)	(5.47095870391473e+001dB,1.79986801147311e+002°)
5.02133822653925e+000	(5.66344898209773e+001dB,-1.79990070047798e+002°)	(5.47095870189097e+001dB,1.79986337790811e+002°)
5.19841533667995e+000	(5.66344898093130e+001dB,-1.79989722332878e+002°)	(5.47095869971828e+001dB,1.79985858023534e+002°)
5.38173705762382e+000	(5.66344897966955e+001dB,-1.79989362270835e+002°)	(5.47095869737891e+001dB,1.79985361269223e+002°)
5.57152360509524e+000	(5.66344897837159e+001dB,-1.79988989429078e+002°)	(5.47095869492608e+001dB,1.79984846931213e+002°)
5.76800296070936e+000	(5.66344897699660e+001dB,-1.79988603359663e+002°)	(5.47095869231447e+001dB,1.79984314391720e+002°)
5.97141114583562e+000	(5.66344897550048e+001dB,-1.79988203598755e+002°)	(5.47095868949372e+001dB,1.79983763011100e+002°)
6.18199250511907e+000	(5.66344897390565e+001dB,-1.79987789666071e+002°)	(5.47095868647978e+001dB,1.79983192127074e+002°)
6.40000000000006e+000	(5.66344897223715e+001dB,-1.79987361064301e+002°)	(5.47095868329074e+001dB,1.79982601053936e+002°)
6.62569551258488e+000	(5.66344897091693e+001dB,-1.79986917278510e+002°)	(5.47095868033969e+001dB,1.79981989081722e+002°)
6.85935016023234e+000	(5.66344896901120e+001dB,-1.79986457775538e+002°)	(5.47095867668838e+001dB,1.79981355475388e+002°)
7.10124462123427e+000	(5.66344896699867e+001dB,-1.79985982003327e+002°)	(5.47095867280535e+001dB,1.79980699473879e+002°)
7.35166947198109e+000	(5.66344896481813e+001dB,-1.79985489390281e+002°)	(5.47095866862059e+001dB,1.79980020289246e+002°)
7.61092553601749e+000	(5.66344896251846e+001dB,-1.79984979344573e+002°)	(5.47095866417222e+001dB,1.79979317105689e+002°)
7.87932424540754e+000	(5.66344896007469e+001dB,-1.79984451253435e+002°)	(5.47095865942684e+001dB,1.79978589078583e+002°)
8.15718801484335e+000	(5.66344895749507e+001dB,-1.79983904482422e+002°)	(5.47095865438019e+001dB,1.79977835333457e+002°)
8.44485062894660e+000	(5.66344895475297e+001dB,-1.79983338374651e+002°)	(5.47095864899474e+001dB,1.79977054964949e+002°)
8.74265764322822e+000	(5.66344895183093e+001dB,-1.79982752250010e+002°)	(5.47095864323990e+001dB,1.79976247035711e+002°)
9.05096679918790e+000	(5.66344894867579e+001dB,-1.79982145404345e+002°)	(5.47095863704858e+001dB,1.79975410575294e+002°)
9.37014845405209e+000	(5.66344894539757e+001dB,-1.79981517108604e+002°)	(5.47095863051667e+001dB,1.79974544578967e+002°)
9.70058602566664e+000	(5.66344894185310e+001dB,-1.79980866607979e+002°)	(5.47095862348491e+001dB,1.79973648006526e+002°)
1.00426764530785e+001	(5.66344893808598e+001dB,-1.79980193120982e+002°)	(5.47095861598085e+001dB,1.79972719781031e+002°)
1.03968306733599e+001	(5.66344893412097e+001dB,-1.79979495838514e+002°)	(5.47095860801021e+001dB,1.79971758787520e+002°)
1.07634741152477e+001	(5.66344892987503e+001dB,-1.79978773922899e+002°)	(5.47095859947093e+001dB,1.79970763871669e+002°)
