time	V(n002)
1.976254840709760e-006	-1.322604e+001
1.978911983566909e-006	-1.317715e+001
1.979111983566909e-006	-1.317347e+001
1.982197697852630e-006	-1.311667e+001
1.985283412138351e-006	-1.305983e+001
1.988369126424073e-006	-1.300296e+001
1.991454840709793e-006	-1.294605e+001
1.994540554995515e-006	-1.288911e+001
1.997626269281235e-006	-1.283214e+001
2.000711983566957e-006	-1.277513e+001
2.003569126424106e-006	-1.272231e+001
2.006426269281255e-006	-1.266945e+001
2.009283412138404e-006	-1.261656e+001
2.012140554995553e-006	-1.256364e+001
2.014997697852702e-006	-1.251069e+001
2.017854840709851e-006	-1.245770e+001
2.020711983567000e-006	-1.240467e+001
2.022026269281289e-006	-1.238027e+001
2.023340554995578e-006	-1.235585e+001
2.024654840709866e-006	-1.233143e+001
2.025969126424155e-006	-1.230700e+001
2.027283412138443e-006	-1.228257e+001
2.028597697852732e-006	-1.225812e+001
2.029911983567021e-006	-1.223367e+001
2.030111983567021e-006	-1.222995e+001
2.030511983567022e-006	-1.222250e+001
2.031111983567023e-006	-1.221134e+001
2.032226269281311e-006	-1.219059e+001
2.033340554995600e-006	-1.216984e+001
2.034454840709888e-006	-1.214908e+001
2.035569126424176e-006	-1.212832e+001
2.036683412138464e-006	-1.210755e+001
2.037797697852752e-006	-1.208677e+001
2.038911983567040e-006	-1.206599e+001
2.039111983567041e-006	-1.206226e+001
2.042340554995619e-006	-1.200200e+001
2.045569126424198e-006	-1.194169e+001
2.048797697852777e-006	-1.188132e+001
2.052026269281355e-006	-1.182089e+001
2.055254840709933e-006	-1.176041e+001
2.058483412138512e-006	-1.169987e+001
2.061711983567090e-006	-1.163927e+001
2.066083412138528e-006	-1.155712e+001
2.070454840709967e-006	-1.147486e+001
2.074826269281405e-006	-1.139249e+001
2.079197697852843e-006	-1.131000e+001
2.083569126424281e-006	-1.122741e+001
2.087940554995719e-006	-1.114471e+001
2.092311983567157e-006	-1.106190e+001
2.099111983567172e-006	-1.093287e+001
2.102597697852894e-006	-1.086664e+001
2.106083412138616e-006	-1.080034e+001
2.109569126424338e-006	-1.073398e+001
2.113054840710060e-006	-1.066756e+001
2.116540554995782e-006	-1.060108e+001
2.120026269281504e-006	-1.053454e+001
2.123511983567226e-006	-1.046794e+001
2.125340554995801e-006	-1.043298e+001
2.127169126424377e-006	-1.039800e+001
2.128997697852952e-006	-1.036302e+001
2.130826269281527e-006	-1.032802e+001
2.132654840710103e-006	-1.029300e+001
2.134483412138678e-006	-1.025797e+001
2.136311983567254e-006	-1.022293e+001
2.139540554995832e-006	-1.016101e+001
2.142769126424411e-006	-1.009906e+001
2.145997697852990e-006	-1.003708e+001
2.149226269281568e-006	-9.975051e+000
2.152454840710146e-006	-9.912987e+000
2.155683412138725e-006	-9.850885e+000
2.158911983567303e-006	-9.788744e+000
2.159111983567304e-006	-9.784893e+000
2.166569126424463e-006	-9.641207e+000
2.174026269281622e-006	-9.497374e+000
2.181483412138781e-006	-9.353393e+000
2.188940554995941e-006	-9.209265e+000
