time	V(realim)
1.333686811136456e-003	1.223843e+001
1.335302629368351e-003	1.216628e+001
1.336377773973597e-003	1.211740e+001
1.337494379504500e-003	1.206602e+001
1.337909686638704e-003	1.204676e+001
1.338247322267745e-003	1.203102e+001
1.338655766112989e-003	1.201189e+001
1.339084635889593e-003	1.199175e+001
1.339260218442604e-003	1.198348e+001
1.339525948812123e-003	1.197091e+001
1.339817013176852e-003	1.195712e+001
1.340046562318357e-003	1.194622e+001
1.340294835863365e-003	1.193439e+001
1.340523331831650e-003	1.192348e+001
1.340785616980182e-003	1.191093e+001
1.341052653155669e-003	1.189812e+001
1.341351914122355e-003	1.188372e+001
1.341732106920468e-003	1.186537e+001
1.342085731336071e-003	1.184823e+001
1.342566155409781e-003	1.182486e+001
1.343077508516889e-003	1.179986e+001
1.343779725446830e-003	1.176532e+001
1.344630053224591e-003	1.172317e+001
1.345902912139668e-003	1.165939e+001
1.347744655545032e-003	1.156553e+001
1.351283901545501e-003	1.138108e+001
1.354781351643714e-003	1.119400e+001
1.357920093008561e-003	1.102154e+001
1.360305498373682e-003	1.088745e+001
1.362670159581970e-003	1.075176e+001
1.365696903090829e-003	1.057449e+001
1.369080471915791e-003	1.037200e+001
1.372592047217680e-003	1.015633e+001
1.378071829144717e-003	9.808463e+000
1.386598764697800e-003	9.245811e+000
1.395387827197800e-003	8.640722e+000
1.404176889697801e-003	8.009471e+000
1.412965952197801e-003	7.353766e+000
1.421755014697801e-003	6.675608e+000
1.430544077197802e-003	5.977063e+000
1.439333139697802e-003	5.260262e+000
1.448122202197802e-003	4.527390e+000
1.456911264697803e-003	3.780682e+000
1.465700327197803e-003	3.022415e+000
1.474489389697803e-003	2.254900e+000
1.483278452197804e-003	1.480479e+000
1.492067514697804e-003	7.015122e-001
1.500856577197804e-003	-7.962473e-002
1.509645639697805e-003	-8.605498e-001
1.518434702197805e-003	-1.638882e+000
1.527223764697805e-003	-2.412247e+000
1.536012827197806e-003	-3.178287e+000
1.544801889697806e-003	-3.934667e+000
1.553590952197806e-003	-4.679080e+000
1.562380014697807e-003	-5.409256e+000
1.571169077197807e-003	-6.122968e+000
1.579958139697807e-003	-6.818041e+000
1.588747202197808e-003	-7.492355e+000
1.597536264697808e-003	-8.143854e+000
1.606325327197808e-003	-8.770552e+000
1.615114389697809e-003	-9.370539e+000
1.623903452197809e-003	-9.941983e+000
1.632692514697809e-003	-1.048315e+001
1.641481577197810e-003	-1.099813e+001
1.644256883163304e-003	-1.115405e+001
1.646581943096466e-003	-1.128097e+001
1.647310641803193e-003	-1.132021e+001
1.647954552110247e-003	-1.135456e+001
1.648560119267545e-003	-1.138667e+001
1.649272884643635e-003	-1.142423e+001
1.650256232656354e-003	-1.147564e+001
1.651748646915740e-003	-1.155291e+001
1.653103857655675e-003	-1.162214e+001
1.655273590125146e-003	-1.173093e+001
1.658527621284704e-003	-1.189089e+001
1.660249250548198e-003	-1.197387e+001
1.661307423488883e-003	-1.202399e+001
1.662355088545867e-003	-1.207308e+001
1.663062861696758e-003	-1.210598e+001
1.663563752767413e-003	-1.212910e+001
1.664207338076677e-003	-1.215859e+001
1.665167970052848e-003	-1.220230e+001
1.665691013672060e-003	-1.222593e+001
1.666271156029422e-003	-1.225195e+001
1.666898702716442e-003	-1.227991e+001
1.667615279120101e-003	-1.231161e+001
1.668266916404817e-003	-1.234022e+001
1.668947199114964e-003	-1.236987e+001
1.669637797697055e-003	-1.239970e+001
1.670729311570294e-003	-1.244639e+001
1.671760942306921e-003	-1.248989e+001
1.673824203780175e-003	-1.257515e+001
1.676502493964004e-003	-1.268233e+001
1.681216751020292e-003	-1.286103e+001
1.688492191976186e-003	-1.311501e+001
1.697281254476186e-003	-1.338805e+001
1.706070316976186e-003	-1.362201e+001
1.714859379476187e-003	-1.381446e+001
1.723648441976187e-003	-1.396482e+001
1.732437504476187e-003	-1.407263e+001
1.741226566976188e-003	-1.413756e+001
1.750015629476188e-003	-1.415942e+001
1.758804691976188e-003	-1.413813e+001
1.767593754476189e-003	-1.407376e+001
1.776382816976189e-003	-1.396651e+001
1.785171879476189e-003	-1.381670e+001
1.793960941976190e-003	-1.362480e+001
1.802750004476190e-003	-1.339138e+001
1.811539066976190e-003	-1.311716e+001
1.820328129476190e-003	-1.280297e+001
1.829117191976190e-003	-1.245548e+001
1.832594657098874e-003	-1.230793e+001
1.834815551434093e-003	-1.220951e+001
1.835821689811341e-003	-1.216402e+001
1.836732152055600e-003	-1.212233e+001
1.837685376836378e-003	-1.207831e+001
1.838296262697020e-003	-1.204986e+001
1.838964237872420e-003	-1.201850e+001
1.839745639634984e-003	-1.198153e+001
1.840611447849281e-003	-1.194022e+001
1.841726055543001e-003	-1.188653e+001
1.842862860364555e-003	-1.183114e+001
1.844536288180392e-003	-1.174819e+001
1.847883143812066e-003	-1.157921e+001
1.849684022107589e-003	-1.148655e+001
1.851255710120871e-003	-1.140430e+001
1.852107046621226e-003	-1.135922e+001
1.853193246502679e-003	-1.130121e+001
1.853609646835513e-003	-1.127884e+001
1.854033455777032e-003	-1.125596e+001
1.854450359568827e-003	-1.123337e+001
1.854962243577316e-003	-1.120553e+001
1.855488647285422e-003	-1.117678e+001
1.856148066358501e-003	-1.114058e+001
1.856940445209667e-003	-1.109681e+001
1.858156332474265e-003	-1.102906e+001
1.859865601839948e-003	-1.093252e+001
1.863206352646850e-003	-1.074014e+001
1.867248036503786e-003	-1.050104e+001
1.873161792350489e-003	-1.013871e+001
1.880467270035888e-003	-9.672325e+000
1.889256332535888e-003	-9.085674e+000
1.898045395035889e-003	-8.472614e+000
1.906834457535889e-003	-7.833751e+000
1.915623520035889e-003	-7.171033e+000
1.924412582535890e-003	-6.486479e+000
1.933201645035890e-003	-5.782178e+000
1.941990707535890e-003	-5.060277e+000
1.950779770035891e-003	-4.322976e+000
1.959568832535891e-003	-3.572525e+000
1.968357895035891e-003	-2.811211e+000
1.977146957535892e-003	-2.041357e+000
1.985936020035892e-003	-1.265309e+000
1.994725082535892e-003	-4.854334e-001
2.012303207535893e-003	1.076281e+000
2.021092270035893e-003	1.853359e+000
2.029881332535894e-003	2.624753e+000
2.038670395035894e-003	3.388113e+000
2.047459457535894e-003	4.141110e+000
2.056248520035895e-003	4.881448e+000
2.065037582535895e-003	5.606871e+000
2.073826645035895e-003	6.315165e+000
2.082615707535896e-003	7.004172e+000
2.091404770035896e-003	7.671791e+000
2.100193832535896e-003	8.315987e+000
2.108982895035897e-003	8.934793e+000
2.117771957535897e-003	9.526328e+000
2.126561020035897e-003	1.008878e+001
2.135350082535898e-003	1.062496e+001
2.139289360032838e-003	1.085543e+001
2.142016239895078e-003	1.100969e+001
2.144657445845837e-003	1.115564e+001
2.146947161427326e-003	1.127959e+001
2.149122720102510e-003	1.139504e+001
2.151644775456952e-003	1.152617e+001
2.154300309494860e-003	1.166148e+001
2.156115392509280e-003	1.175231e+001
2.157092711712265e-003	1.180052e+001
2.157893127727736e-003	1.183961e+001
2.158417376022832e-003	1.186505e+001
2.158886024952842e-003	1.188767e+001
2.159297458169373e-003	1.190743e+001
2.159691433210351e-003	1.192628e+001
2.160056185367423e-003	1.194367e+001
2.160443649412022e-003	1.196206e+001
2.160805529861564e-003	1.197917e+001
2.161171265009688e-003	1.199639e+001
2.161548013479835e-003	1.201405e+001
2.161960303439523e-003	1.203330e+001
2.162439160859928e-003	1.205556e+001
2.163134930523709e-003	1.208781e+001
2.163702339351894e-003	1.211399e+001
2.164273431833272e-003	1.214019e+001
2.164899858129172e-003	1.216873e+001
2.165682562853086e-003	1.220413e+001
2.166138704911268e-003	1.222462e+001
2.166704077340697e-003	1.224985e+001
2.167353968532583e-003	1.227867e+001
2.168027109868435e-003	1.230831e+001
2.168689721181815e-003	1.233726e+001
2.169410272042163e-003	1.236850e+001
2.170165790499208e-003	1.240097e+001
2.171178414432869e-003	1.244404e+001
2.172252147398171e-003	1.248905e+001
2.174399613328777e-003	1.257712e+001
2.177535246667424e-003	1.270075e+001
2.183806513344719e-003	1.293185e+001
2.192595575844719e-003	1.322521e+001
2.201384638344720e-003	1.348102e+001
2.210173700844720e-003	1.369569e+001
2.218962763344720e-003	1.386856e+001
2.227751825844721e-003	1.399911e+001
2.236540888344721e-003	1.408694e+001
2.245329950844721e-003	1.413177e+001
2.254119013344722e-003	1.413349e+001
2.262908075844722e-003	1.409207e+001
2.271697138344722e-003	1.400765e+001
2.280486200844723e-003	1.388048e+001
