Freq.	V(n001)/1A
9.41013692413589e+002	(-4.71750043308120e+001dB,-1.73466967600017e+002°)
9.74198468610248e+002	(-4.71709852001066e+001dB,-1.73240712987806e+002°)
1.00855350341218e+003	(-4.71666847694939e+001dB,-1.73006668446300e+002°)
1.04412006589996e+003	(-4.71620837434104e+001dB,-1.72764586651047e+002°)
1.08094088050518e+003	(-4.71571616252221e+001dB,-1.72514213937051e+002°)
1.11906017833322e+003	(-4.71518965075021e+001dB,-1.72255290407822e+002°)
1.15852375029606e+003	(-4.71462650951291e+001dB,-1.71987549903657e+002°)
1.19937900211868e+003	(-4.71402425631024e+001dB,-1.71710720108678e+002°)
1.24167501128534e+003	(-4.71338025156784e+001dB,-1.71424522599853e+002°)
1.28546258599406e+003	(-4.71269167871759e+001dB,-1.71128673071533e+002°)
1.33079432619008e+003	(-4.71195554912093e+001dB,-1.70822881369332e+002°)
1.37772468675171e+003	(-4.71116867680245e+001dB,-1.70506851822270e+002°)
1.42631004290440e+003	(-4.71032767986745e+001dB,-1.70180283386331e+002°)
1.47660875794161e+003	(-4.70942895961137e+001dB,-1.69842870033935e+002°)
1.52868125333394e+003	(-4.70846869521397e+001dB,-1.69494301040526e+002°)
1.58259008131050e+003	(-4.70744283062338e+001dB,-1.69134261424681e+002°)
1.63840000000003e+003	(-4.70634705655928e+001dB,-1.68762432482422e+002°)
1.69617805122175e+003	(-4.70517680605800e+001dB,-1.68378492258028e+002°)
1.75599364101950e+003	(-4.70392723336088e+001dB,-1.67982116273934e+002°)
1.81791862303600e+003	(-4.70259320402242e+001dB,-1.67572978226847e+002°)
1.88202738482718e+003	(-4.70116928563227e+001dB,-1.67150750744820e+002°)
1.94839693722050e+003	(-4.69964972481958e+001dB,-1.66715106452790e+002°)
2.01710700682435e+003	(-4.69802844187446e+001dB,-1.66265718884876e+002°)
2.08824013179992e+003	(-4.69629901302397e+001dB,-1.65802263715895e+002°)
2.16188176101036e+003	(-4.69445465681046e+001dB,-1.65324420042558e+002°)
2.23812035666645e+003	(-4.69248822619342e+001dB,-1.64831871728808e+002°)
2.31704750059213e+003	(-4.69039219243018e+001dB,-1.64324309013583e+002°)
2.39875800423736e+003	(-4.68815863607631e+001dB,-1.63801430174844e+002°)
2.48335002257069e+003	(-4.68577923774717e+001dB,-1.63262943345092e+002°)
2.57092517198813e+003	(-4.68324526503957e+001dB,-1.62708568586071e+002°)
2.66158865238017e+003	(-4.68054757751778e+001dB,-1.62138039796860e+002°)
2.75544937350343e+003	(-4.67767660517320e+001dB,-1.61551107312120e+002°)
2.85262008580880e+003	(-4.67462236336186e+001dB,-1.60947539980383e+002°)
2.95321751588323e+003	(-4.67137444355576e+001dB,-1.60327127932110e+002°)
3.05736250666788e+003	(-4.66792202110852e+001dB,-1.59689685123218e+002°)
3.16518016262100e+003	(-4.66425385518107e+001dB,-1.59035052338962e+002°)
3.27680000000007e+003	(-4.66035831009186e+001dB,-1.58363099818015e+002°)
3.39235610244350e+003	(-4.65622336184736e+001dB,-1.57673730446558e+002°)
3.51198728203900e+003	(-4.65183662175687e+001dB,-1.56966882665439e+002°)
3.63583724607200e+003	(-4.64718535995567e+001dB,-1.56242533569439e+002°)
3.76405476965437e+003	(-4.64225653355702e+001dB,-1.55500701993530e+002°)
3.89679387444101e+003	(-4.63703682486717e+001dB,-1.54741451443597e+002°)
4.03421401364871e+003	(-4.63151267490091e+001dB,-1.53964893220033e+002°)
4.17648026359985e+003	(-4.62567033655418e+001dB,-1.53171189056186e+002°)
4.32376352202072e+003	(-4.61949592183974e+001dB,-1.52360553887255e+002°)
4.47624071333291e+003	(-4.61297546116240e+001dB,-1.51533258253808e+002°)
4.63409500118427e+003	(-4.60609496899370e+001dB,-1.50689630337603e+002°)
4.79751600847474e+003	(-4.59884050531482e+001dB,-1.49830058061009e+002°)
4.96670004514139e+003	(-4.59119825624406e+001dB,-1.48954990264990e+002°)
5.14185034397627e+003	(-4.58315460972000e+001dB,-1.48064937806188e+002°)
5.32317730476035e+003	(-4.57469623481932e+001dB,-1.47160474139352e+002°)
5.51089874700687e+003	(-4.56581017003697e+001dB,-1.46242235173421e+002°)
5.70524017161761e+003	(-4.55648391061972e+001dB,-1.45310918653904e+002°)
5.90643503176648e+003	(-4.54670549286930e+001dB,-1.44367283043752e+002°)
6.11472501333576e+003	(-4.53646358437997e+001dB,-1.43412145614912e+002°)
6.33036032524202e+003	(-4.52574757242228e+001dB,-1.42446379828559e+002°)
6.55360000000016e+003	(-4.51454764376264e+001dB,-1.41470912295846e+002°)
6.78471220488701e+003	(-4.50285486916945e+001dB,-1.40486718804110e+002°)
7.02397456407802e+003	(-4.49066127474850e+001dB,-1.39494819934632e+002°)
7.27167449214400e+003	(-4.47795991049603e+001dB,-1.38496276045761e+002°)
7.52810953930875e+003	(-4.46474491521253e+001dB,-1.37492181395055e+002°)
7.79358774888202e+003	(-4.45101155784220e+001dB,-1.36483658560054e+002°)
8.06842802729744e+003	(-4.43675629113611e+001dB,-1.35471851342271e+002°)
8.35296052719972e+003	(-4.42197676702014e+001dB,-1.34457918746862e+002°)
8.64752704404145e+003	(-4.40667186967877e+001dB,-1.33443027203595e+002°)
8.95248142666582e+003	(-4.39084171179410e+001dB,-1.32428344031633e+002°)
9.26819000236854e+003	(-4.37448763519872e+001dB,-1.31415029950317e+002°)
9.59503201694948e+003	(-4.35761219076136e+001dB,-1.30404232251627e+002°)
9.93340009028279e+003	(-4.34021910872781e+001dB,-1.29397077979887e+002°)
1.02837006879525e+004	(-4.32231326414294e+001dB,-1.28394667001391e+002°)
1.06463546095207e+004	(-4.30390061872003e+001dB,-1.27398066385272e+002°)
1.10217974940138e+004	(-4.28498816627085e+001dB,-1.26408304308754e+002°)
1.14104803432352e+004	(-4.26558386367480e+001dB,-1.25426364946263e+002°)
1.18128700635330e+004	(-4.24569655477285e+001dB,-1.24453183952606e+002°)
1.22294500266715e+004	(-4.22533589170316e+001dB,-1.23489644279050e+002°)
1.26607206504840e+004	(-4.20451224563847e+001dB,-1.22536573196869e+002°)
1.31072000000003e+004	(-4.18323662120766e+001dB,-1.21594739369769e+002°)
1.35694244097740e+004	(-4.16152056887904e+001dB,-1.20664850765814e+002°)
1.40479491281561e+004	(-4.13937608894623e+001dB,-1.19747553589157e+002°)
1.45433489842880e+004	(-4.11681554474770e+001dB,-1.18843431471577e+002°)
1.50562190786175e+004	(-4.09385157470361e+001dB,-1.17953005303823e+002°)
1.55871754977641e+004	(-4.07049700676754e+001dB,-1.17076733718140e+002°)
1.61368560545949e+004	(-4.04676477462669e+001dB,-1.16215014230223e+002°)
1.67059210543995e+004	(-4.02266784520891e+001dB,-1.15368184240304e+002°)
