time	V(n002)-5.4261mV
1.558201428572508e-003	-1.012005e-001
1.559055714286789e-003	-1.026175e-001
1.559910000001070e-003	-1.040317e-001
1.559930000001070e-003	-1.040648e-001
1.565930000001034e-003	-1.139090e-001
1.566784285715315e-003	-1.152979e-001
1.567638571429595e-003	-1.166834e-001
1.568492857143876e-003	-1.180655e-001
1.569347142858157e-003	-1.194441e-001
1.570201428572437e-003	-1.208193e-001
1.571055714286718e-003	-1.221911e-001
1.571910000000999e-003	-1.235595e-001
1.571930000000998e-003	-1.235915e-001
1.577930000000963e-003	-1.330983e-001
1.583930000000927e-003	-1.424159e-001
1.589930000000892e-003	-1.515312e-001
1.595930000000856e-003	-1.604312e-001
1.601930000000820e-003	-1.691031e-001
1.607930000000785e-003	-1.775348e-001
1.613930000000749e-003	-1.857142e-001
1.619930000000713e-003	-1.936297e-001
1.625930000000678e-003	-2.012700e-001
1.631930000000642e-003	-2.086243e-001
1.637930000000606e-003	-2.156822e-001
1.643930000000571e-003	-2.224335e-001
1.649930000000535e-003	-2.288688e-001
1.655930000000500e-003	-2.349789e-001
1.661930000000464e-003	-2.407550e-001
1.667930000000428e-003	-2.461890e-001
1.673930000000393e-003	-2.512732e-001
1.679930000000357e-003	-2.560003e-001
1.685930000000321e-003	-2.603636e-001
1.691930000000286e-003	-2.643569e-001
1.697930000000250e-003	-2.679746e-001
1.703930000000214e-003	-2.712114e-001
1.709930000000179e-003	-2.740629e-001
1.715930000000143e-003	-2.765249e-001
1.721930000000108e-003	-2.785939e-001
1.727930000000072e-003	-2.802671e-001
1.733930000000036e-003	-2.815420e-001
1.739930000000001e-003	-2.824168e-001
1.745929999999965e-003	-2.828903e-001
1.751929999999929e-003	-2.829617e-001
1.757929999999894e-003	-2.826311e-001
1.763929999999858e-003	-2.818988e-001
1.769929999999823e-003	-2.807660e-001
1.775929999999787e-003	-2.792342e-001
1.781929999999751e-003	-2.773056e-001
1.787929999999716e-003	-2.749829e-001
1.793929999999680e-003	-2.722694e-001
1.799929999999644e-003	-2.691691e-001
1.805929999999609e-003	-2.656862e-001
1.811929999999573e-003	-2.618258e-001
1.817929999999537e-003	-2.575933e-001
1.823929999999502e-003	-2.529948e-001
1.829929999999466e-003	-2.480367e-001
1.835929999999431e-003	-2.427262e-001
1.841929999999395e-003	-2.370708e-001
1.847929999999359e-003	-2.310785e-001
1.853929999999324e-003	-2.247578e-001
1.859929999999288e-003	-2.181177e-001
1.865929999999252e-003	-2.111677e-001
1.871929999999217e-003	-2.039175e-001
1.877929999999181e-003	-1.963776e-001
1.883929999999146e-003	-1.885587e-001
1.889929999999110e-003	-1.804718e-001
1.895929999999074e-003	-1.721284e-001
1.901929999999039e-003	-1.635405e-001
1.907929999999003e-003	-1.547201e-001
1.913929999998967e-003	-1.456799e-001
1.919929999998932e-003	-1.364327e-001
1.925929999998896e-003	-1.269916e-001
1.926784285713177e-003	-1.256323e-001
1.927638571427457e-003	-1.242694e-001
1.928492857141738e-003	-1.229031e-001
1.929347142856019e-003	-1.215332e-001
1.930201428570299e-003	-1.201598e-001
1.931055714284580e-003	-1.187828e-001
1.931909999998861e-003	-1.174024e-001
1.931929999998860e-003	-1.173700e-001
1.937929999998825e-003	-1.075817e-001
1.943929999998789e-003	-9.764047e-002
1.944784285713070e-003	-9.621331e-002
1.945638571427351e-003	-9.478348e-002
1.946492857141631e-003	-9.335098e-002
1.947347142855912e-003	-9.191581e-002
1.948201428570192e-003	-9.047798e-002
1.949055714284473e-003	-8.903748e-002
1.949909999998754e-003	-8.759431e-002
1.949929999998754e-003	-8.756050e-002
1.955929999998718e-003	-7.735610e-002
1.961929999998682e-003	-6.704178e-002
1.967929999998647e-003	-5.663220e-002
1.973929999998611e-003	-4.614214e-002
1.979929999998575e-003	-3.558652e-002
1.985929999998540e-003	-2.498032e-002
1.991929999998504e-003	-1.433865e-002
1.992681428569928e-003	-1.300408e-002
1.993432857141352e-003	-1.166930e-002
1.994184285712776e-003	-1.033430e-002
1.994935714284201e-003	-8.999086e-003
1.995687142855625e-003	-7.663657e-003
1.996438571427049e-003	-6.328013e-003
1.997189999998473e-003	-4.992154e-003
1.997929999998468e-003	-3.676589e-003
2.003929999998433e-003	6.990700e-003
2.009929999998397e-003	1.764803e-002
2.015929999998362e-003	2.828028e-002
2.021929999998326e-003	3.887236e-002
2.027929999998290e-003	4.940918e-002
2.033929999998255e-003	5.987578e-002
2.039929999998219e-003	7.025730e-002
2.045929999998183e-003	8.053895e-002
2.051929999998148e-003	9.070618e-002
2.057929999998112e-003	1.007445e-001
2.058784285712393e-003	1.021625e-001
2.059638571426673e-003	1.035776e-001
2.060492857140954e-003	1.049895e-001
2.061347142855235e-003	1.063984e-001
2.062201428569515e-003	1.078043e-001
2.063055714283796e-003	1.092071e-001
2.063909999998077e-003	1.106069e-001
2.063929999998077e-003	1.106396e-001
2.069929999998041e-003	1.203776e-001
2.075929999998005e-003	1.299444e-001
2.081929999997970e-003	1.393266e-001
2.087929999997934e-003	1.485108e-001
2.093929999997898e-003	1.574839e-001
2.099929999997863e-003	1.662333e-001
2.105929999997827e-003	1.747464e-001
2.111929999997791e-003	1.830112e-001
2.117929999997756e-003	1.910159e-001
2.123929999997720e-003	1.987492e-001
2.129929999997685e-003	2.062000e-001
2.135929999997649e-003	2.133579e-001
2.141929999997613e-003	2.202125e-001
2.147929999997578e-003	2.267541e-001
2.153929999997542e-003	2.329736e-001
2.159929999997506e-003	2.388620e-001
2.165929999997471e-003	2.444109e-001
2.171929999997435e-003	2.496125e-001
2.177929999997399e-003	2.544594e-001
2.183929999997364e-003	2.589447e-001
2.189929999997328e-003	2.630620e-001
2.195929999997293e-003	2.668055e-001
2.201929999997257e-003	2.701698e-001
2.207929999997221e-003	2.731502e-001
2.213929999997186e-003	2.757425e-001
2.219929999997150e-003	2.779428e-001
