Freq.	V(ampli:n003)	V(ampli:n010)
3.55062231061713e+000	(2.92006347145156e+001dB,-1.45511837674914e+002°)	(3.11255374460256e+001dB,-1.45495109666396e+002°)
3.67583473599054e+000	(2.92911503803816e+001dB,-1.46454925235310e+002°)	(3.12160531170063e+001dB,-1.46437613669633e+002°)
3.80546276800874e+000	(2.93773376833369e+001dB,-1.47384148827770e+002°)	(3.13022404254305e+001dB,-1.47366232909379e+002°)
3.93966212270376e+000	(2.94593231932029e+001dB,-1.48298863468018e+002°)	(3.13842259411421e+001dB,-1.48280321675377e+002°)
4.07859400742167e+000	(2.95372376391372e+001dB,-1.49198485750541e+002°)	(3.14621403933283e+001dB,-1.49179295810279e+002°)
4.22242531447330e+000	(2.96112150494293e+001dB,-1.50082494182443e+002°)	(3.15361178103126e+001dB,-1.50062633042600e+002°)
4.37132882161410e+000	(2.96813919177647e+001dB,-1.50950428957516e+002°)	(3.16062946858031e+001dB,-1.50929872759852e+002°)
4.52548339959394e+000	(2.97479064045453e+001dB,-1.51801891217500e+002°)	(3.16728091802429e+001dB,-1.51780615268830e+002°)
4.68507422702604e+000	(2.98108975804932e+001dB,-1.52636541852325e+002°)	(3.17358003643878e+001dB,-1.52614520594866e+002°)
4.85029301283332e+000	(2.98705047177400e+001dB,-1.53454099889608e+002°)	(3.17954075104107e+001dB,-1.53431306870268e+002°)
5.02133822653925e+000	(2.99268666332594e+001dB,-1.54254340532653e+002°)	(3.18517694353270e+001dB,-1.54230748371261e+002°)
5.19841533667995e+000	(2.99801210872379e+001dB,-1.55037092899366e+002°)	(3.19050238993681e+001dB,-1.55012673255778e+002°)
5.38173705762382e+000	(3.00304042383216e+001dB,-1.55802237517465e+002°)	(3.19553070612281e+001dB,-1.55776961057523e+002°)
5.57152360509524e+000	(3.00778501563745e+001dB,-1.56549703627874e+002°)	(3.20027529908296e+001dB,-1.56523539988165e+002°)
5.76800296070936e+000	(3.01225903925971e+001dB,-1.57279466346660e+002°)	(3.20474932394184e+001dB,-1.57252384098043e+002°)
5.97141114583562e+000	(3.01647536056144e+001dB,-1.57991543729430e+002°)	(3.20896564656820e+001dB,-1.57963510339285e+002°)
6.18199250511907e+000	(3.02044652418379e+001dB,-1.58685993781124e+002°)	(3.21293681160966e+001dB,-1.58656975574268e+002°)
6.40000000000006e+000	(3.02418472677222e+001dB,-1.59362911449087e+002°)	(3.21667501571863e+001dB,-1.59332873567324e+002°)
6.62569551258488e+000	(3.02770179507799e+001dB,-1.60022425630661e+002°)	(3.22019208565523e+001dB,-1.59991331990893e+002°)
6.85935016023234e+000	(3.03100916872675e+001dB,-1.60664696232160e+002°)	(3.22349946104958e+001dB,-1.60632509483087e+002°)
7.10124462123427e+000	(3.03411788702440e+001dB,-1.61289911282885e+002°)	(3.22660818121772e+001dB,-1.61256592760092e+002°)
7.35166947198109e+000	(3.03703857984344e+001dB,-1.61898284153556e+002°)	(3.22952887604098e+001dB,-1.61863793833083e+002°)
7.61092553601749e+000	(3.03978146191202e+001dB,-1.62490050872577e+002°)	(3.23227176025825e+001dB,-1.62454347322839e+002°)
7.87932424540754e+000	(3.04235633029526e+001dB,-1.63065467563800e+002°)	(3.23484663094311e+001dB,-1.63028507895818e+002°)
8.15718801484335e+000	(3.04477256467128e+001dB,-1.63624808012082e+002°)	(3.23726286778617e+001dB,-1.63586547827961e+002°)
8.44485062894660e+000	(3.04703913008280e+001dB,-1.64168361364686e+002°)	(3.23952943584103e+001dB,-1.64128754704285e+002°)
8.74265764322822e+000	(3.04916458183139e+001dB,-1.64696429971940e+002°)	(3.24165489042242e+001dB,-1.64655429257662e+002°)
9.05096679918790e+000	(3.05115707221944e+001dB,-1.65209327369622e+002°)	(3.24364738384665e+001dB,-1.65166883349261e+002°)
9.37014845405209e+000	(3.05302435884528e+001dB,-1.65707376402301e+002°)	(3.24551467372618e+001dB,-1.65663438089873e+002°)
9.70058602566664e+000	(3.05477381422227e+001dB,-1.66190907488027e+002°)	(3.24726413259046e+001dB,-1.66145422102531e+002°)
