Freq.	V(n001)/1A
2.16188176101036e+003	(-3.92345579919832e+001dB,5.74968186042946e+000°)
2.23812035666645e+003	(-3.92313760039985e+001dB,5.95024072549615e+000°)
2.31704750059213e+003	(-3.92279681957525e+001dB,6.15773924583078e+000°)
2.39875800423736e+003	(-3.92243187411775e+001dB,6.37240420823701e+000°)
2.48335002257069e+003	(-3.92204107211203e+001dB,6.59446859729893e+000°)
2.57092517198813e+003	(-3.92162260764714e+001dB,6.82417164051830e+000°)
2.66158865238017e+003	(-3.92117455179712e+001dB,7.06175880505375e+000°)
2.75544937350343e+003	(-3.92069484540624e+001dB,7.30748179193781e+000°)
2.85262008580880e+003	(-3.92018129097952e+001dB,7.56159850222839e+000°)
2.95321751588323e+003	(-3.91963154396680e+001dB,7.82437297575080e+000°)
3.05736250666788e+003	(-3.91904310461151e+001dB,8.09607531111170e+000°)
3.16518016262100e+003	(-3.91841330667214e+001dB,8.37698152714268e+000°)
3.27680000000007e+003	(-3.91773930918216e+001dB,8.66737341952751e+000°)
3.39235610244350e+003	(-3.91701808496634e+001dB,8.96753835272715e+000°)
3.51198728203900e+003	(-3.91624641142501e+001dB,9.27776903269541e+000°)
3.63583724607200e+003	(-3.91542085752726e+001dB,9.59836319768164e+000°)
3.76405476965437e+003	(-3.91453777322098e+001dB,9.92962328195637e+000°)
3.89679387444101e+003	(-3.91359327761435e+001dB,1.02718560143951e+001°)
4.03421401364871e+003	(-3.91258324638298e+001dB,1.06253719461151e+001°)
4.17648026359985e+003	(-3.91150329880431e+001dB,1.09904849088133e+001°)
4.32376352202072e+003	(-3.91034878535760e+001dB,1.13675114059997e+001°)
4.47624071333291e+003	(-3.90911477435956e+001dB,1.17567699114759e+001°)
4.63409500118427e+003	(-3.90779603851353e+001dB,1.21585800819872e+001°)
4.79751600847474e+003	(-3.90638704212761e+001dB,1.25732618840839e+001°)
4.96670004514139e+003	(-3.90488192716003e+001dB,1.30011346017952e+001°)
5.14185034397627e+003	(-3.90327449994339e+001dB,1.34425157423046e+001°)
5.32317730476035e+003	(-3.90155821863096e+001dB,1.38977198356351e+001°)
5.51089874700687e+003	(-3.89972618092399e+001dB,1.43670571122787e+001°)
5.70524017161761e+003	(-3.89777111133599e+001dB,1.48508320336852e+001°)
5.90643503176648e+003	(-3.89568535088807e+001dB,1.53493417228441e+001°)
6.11472501333576e+003	(-3.89346084589645e+001dB,1.58628742223906e+001°)
6.33036032524202e+003	(-3.89108913966349e+001dB,1.63917066459085e+001°)
